,text,concept
86,COVID vaccine did not cause woman's death: Singapore heart centres  https://t.co/owyKesjjMb,"['covid', 'vaccine', 'cause', 'death', 'heart', 'singapore', 'woman']"
87,These are the best places to be in as the world learns to live with Covid -- and the U.S. isn't in the top 20.  https://t.co/EL0iVRoKs3 via @bbgvisualdata,"['best', 'learn', 'live', 'covid', 'top', 'place']"
88,"Yes, Omicron is loosening its hold. But the pandemic has not ended  https://t.co/aDpiupJkcy  https://t.co/gV16fbEGGt","['yes', 'omicron', 'loosening', 'hold', 'pandemic']"
89,Nightclub sued by landlord for unpaid rent relies on Covid-19 curbs in defence  https://t.co/KXmzsfo4WH,"['relies on', 'suede', 'landlord', 'unpaid', 'rent', 'covid', 'curb', 'fence', 'nightclub']"
90,Wanted: Volunteers to catch Covid-19 in the name of science  https://t.co/t8erM7M7F1  https://t.co/9OTUs2nq00,"['wanted', 'volunteer', 'catch', 'covid', 'science']"
91,Biathlon-Russian coach tests positive for COVID-19 in Beijing  https://t.co/FyXIseAoQA  https://t.co/taN0IaSV41,"['ache', 'testy', 'positive', 'covid', 'russian']"
92,"Rising costs, COVID-19 pandemic curbs take a bite out of McDonald's profit  https://t.co/icPBFiTW3d  https://t.co/OcYqAGm1k6","['rising', 'covid', 'pandemic', 'curb', 'bite', 'mcdonald', 'profit', 'costs', 'take']"
93,"Poland reports new daily record of 57,659 COVID-19 cases  https://t.co/AyONN1gZh9  https://t.co/Gkyy9bzgxs","['new', 'record', 'covid', 'reports']"
94,"Australia reports fewer Covid-19 deaths, hospitalisations steady  https://t.co/gIdVENsPON  https://t.co/CdCAKLDxoy","['fewer', 'covid', 'death', 'hospital', 'steady', 'reports']"
95,Hong Kong to cut COVID-19 quarantine for arrivals to 14 days from next month  https://t.co/GyKfNlZF6T  https://t.co/mN5Ko5alfa,"['hong', 'cut', 'covid', 'quarantine', 'arrival']"
96,No exit from zero-Covid: China struggles to find policy off-ramp  https://t.co/O4WNqKsYim  https://t.co/M33Q3ye1Xz,"['exit', 'covid', 'struggles', 'policy', 'ramp', 'china', 'find']"
97,The Omicron subvariant could be 1.5 times more infectious than the original.   https://t.co/Xrbjnt0oFh,"['omicron', 'infectious', 'original', 'than', 'more']"
98,President Halimah tears up as she expresses her appreciation to MOH Covid-19 service staff at the Istana  https://t.co/rNJoV2a9sB,"['teary', 'appreciation', 'covid', 'service']"
99,Covid-19: England lifts Omicron restrictions  https://t.co/LILMZRz1pX  https://t.co/U9Oy7BN1vj,"['covid', 'lift', 'omicron', 'restrictions', 'england']"
100,Covid-19 vaccine not 'direct cause' of heart condition that led to woman's death: 2 hospitals that treated her  https://t.co/7HuKbAX48o  https://t.co/h4PTNP8bmW,"['covid', 'vaccine', 'direct', 'cause', 'heart', 'condition', 'death', 'treated', 'woman', 'hospitals']"
101,Covid-19 vaccine not 'direct cause' of heart condition that led to woman's death: 2 hospitals that treated her  https://t.co/kATi2SP3nZ  https://t.co/jM5egf3ZIw,"['covid', 'vaccine', 'direct', 'cause', 'heart', 'condition', 'death', 'treated', 'woman', 'hospitals']"
102,Beijing Winter Games: Covid-19 cases in Olympic bubble rise to 106  https://t.co/GfYNPHsVCD  https://t.co/fDhaSJhrlD,"['game', 'covid', 'olympic', 'bubble', 'rise', 'winter', 'SADNESS']"
103,More children in hospital presented with Covid-19 symptoms that are 'not mild': KKH paediatrician  https://t.co/VHFbGV7L2X  https://t.co/UIHHoMuV9G,"['hospital', 'covid']"
104,Beijing city limits movement in more areas to curb Covid cases before Olympics  https://t.co/poxMyCrAXu  https://t.co/RcHF80sTTP,"['limits', 'movement', 'curb', 'covid', 'olympic', 'before', 'city']"
105,'Doesn't feel like anything's going to change': Expats exit Singapore as patience for Covid-19 rules wears thin  https://t.co/lr7kcV57BA  https://t.co/zF5VZdo2L4,"['change', 'expat', 'exit', 'patience', 'covid', 'thin', 'singapore', 'wears']"
106,Heart disease the cause of death of woman who died months after COVID-19 jab: Heart centres  https://t.co/3kYacchI8h  https://t.co/QFOGPli09K,"['heart disease', 'cause', 'death', 'died', 'covid', 'heart', 'after']"
107,Expats head for the exit as 'easy' Singapore's Covid-19 controls bite  https://t.co/RmBDQQ5eI1  https://t.co/cvmB6BbDbo,"['expat', 'head', 'exit', 'easy', 'covid', 'control', 'bite', 'singapore']"
108,Children admitted for Covid-19 at KKH doubles since December 2021  https://t.co/gwyDm2sWJh,"['admitted', 'covid', 'children']"
109,"""Post any transplant your immune system is cut off. COVID could kill you,"" a medical ethicist said.    https://t.co/c5PelH8wTP","['medical ethicist', 'cut off', 'transplant', 'immune', 'covid', 'kill', 'system']"
110,"We seem to be making so many decisions based on fear these days, moreso than usual. Like between the fear of catching Covid and the fear of breaking the 154939 rules in sg, its a lot.   Genuinely curious what the long term effects are to us as a collective.","['long term effect', 'decision', 'fear', 'catching', 'covid', 'genuinely', 'curious', 'collective', 'making', 'between']"
111,Germany reports new daily record for COVID-19 infections  https://t.co/X6uOE9Xso4  https://t.co/siDT2kwEla,"['record for', 'new', 'covid', 'infection', 'reports']"
112,Longer work hours may be unavoidable for business continuity amid Covid-19: Employers  https://t.co/6AFqmPEBW3,"['longer', 'work', 'unavoidable', 'continue', 'amid', 'covid', 'employer', 'business']"
113,"Death of woman, 39, due to heart disease, not Covid-19 jab: S'pore heart centres  https://t.co/MWds8aS3Ib","['heart disease', 'death', 'covid', 'pore', 'heart']"
114,No exit from zero-COVID: China struggles to find policy off-ramp  https://t.co/aEjQDquxcw  https://t.co/EYA8UBzN6I,"['exit', 'covid', 'struggles', 'policy', 'ramp', 'china', 'find']"
